ROW,TAXON_NAME,TAXA_COARSE,NOTE
3429,Clione limacina,Clione limacina,
3477,Clione limacina,Clione limacina,
3528,Clione limacina,Clione limacina,
3590,Clione limacina,Clione limacina,
3591,Clione limacina,Clione limacina,
3666,Clione limacina,Clione limacina,
3667,Clione limacina,Clione limacina,
3734,Clione limacina,Clione limacina,
3735,Clione limacina,Clione limacina,
3807,Clione limacina,Clione limacina,
3808,Clione limacina,Clione limacina,
3872,Clione limacina,Clione limacina,
3873,Clione limacina,Clione limacina,
4018,Clione limacina,Clione limacina,
4019,Clione limacina,Clione limacina,
4085,Clione limacina,Clione limacina,
4086,Clione limacina,Clione limacina,
4143,Clione limacina,Clione limacina,
4144,Clione limacina,Clione limacina,
4211,Clione limacina,Clione limacina,
4212,Clione limacina,Clione limacina,
4611,Clione limacina,Clione limacina,
4755,Clione limacina,Clione limacina,
4911,Clione limacina,Clione limacina,
4912,Clione limacina,Clione limacina,
4996,Clione limacina,Clione limacina,
5088,Clione limacina,Clione limacina,
5166,Clione limacina,Clione limacina,
5324,Clione limacina,Clione limacina,
5411,Clione limacina,Clione limacina,
5412,Clione limacina,Clione limacina,
5499,Clione limacina,Clione limacina,
5500,Clione limacina,Clione limacina,
5577,Clione limacina,Clione limacina,
5578,Clione limacina,Clione limacina,
5663,Clione limacina,Clione limacina,
5664,Clione limacina,Clione limacina,
5749,Clione limacina,Clione limacina,
5835,Clione limacina,Clione limacina,
5919,Clione limacina,Clione limacina,
5920,Clione limacina,Clione limacina,
6007,Clione limacina,Clione limacina,
6091,Clione limacina,Clione limacina,
6092,Clione limacina,Clione limacina,
6358,Clione limacina,Clione limacina,
6551,Clione limacina,Clione limacina,
6655,Clione limacina,Clione limacina,
6656,Clione limacina,Clione limacina,
6745,Clione limacina,Clione limacina,
6842,Clione limacina,Clione limacina,
6922,Clione limacina,Clione limacina,
7008,Clione limacina,Clione limacina,
7097,Clione limacina,Clione limacina,
7098,Clione limacina,Clione limacina,
7152,Clione limacina,Clione limacina,
7216,Clione limacina,Clione limacina,
7264,Clione limacina,Clione limacina,
7321,Clione limacina,Clione limacina,
7322,Clione limacina,Clione limacina,
7398,Clione limacina,Clione limacina,
7469,Clione limacina,Clione limacina,
7544,Clione limacina,Clione limacina,
7683,Clione limacina,Clione limacina,
7760,Clione limacina,Clione limacina,
7832,Clione limacina,Clione limacina,
7910,Clione limacina,Clione limacina,
7984,Clione limacina,Clione limacina,
8050,Clione limacina,Clione limacina,
8149,Clione limacina,Clione limacina,
8150,Clione limacina,Clione limacina,
8229,Clione limacina,Clione limacina,
8347,Clione limacina,Clione limacina,
8392,Clione limacina,Clione limacina,
8445,Clione limacina,Clione limacina,
8534,Clione limacina,Clione limacina,
8718,Clione limacina,Clione limacina,
8866,Clione limacina,Clione limacina,
8919,Clione limacina,Clione limacina,
8960,Clione limacina,Clione limacina,
9014,Clione limacina,Clione limacina,
9074,Clione limacina,Clione limacina,
9128,Clione limacina,Clione limacina,
9189,Clione limacina,Clione limacina,
9190,Clione limacina,Clione limacina,
9245,Clione limacina,Clione limacina,
9332,Clione limacina,Clione limacina,
9408,Clione limacina,Clione limacina,
9482,Clione limacina,Clione limacina,
9567,Clione limacina,Clione limacina,
9645,Clione limacina,Clione limacina,
9738,Clione limacina,Clione limacina,
9739,Clione limacina,Clione limacina,
9839,Clione limacina,Clione limacina,
9941,Clione limacina,Clione limacina,
9942,Clione limacina,Clione limacina,
10031,Clione limacina,Clione limacina,
10073,Clione limacina,Clione limacina,
10122,Clione limacina,Clione limacina,
10227,Clione limacina,Clione limacina,
10270,Clione limacina,Clione limacina,
10311,Clione limacina,Clione limacina,
10391,Clione limacina,Clione limacina,
10518,Clione limacina,Clione limacina,
